qa_item,path,scope,reviewer,review_date,status,notes
component_alpha,synthetic/sources/nominal_component_alpha_v1_overlay.jpg,nominal component alpha boundary,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Component body leads and mount-hole exclusion align with the clean source; final published masks use rendered alpha threshold.
overview,synthetic/v4_conveyor/contact_sheet.jpg,8 representative raw and overlay scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Black belt remains dark; five components are separated; component and defect boxes align visually.
neutral_raw,synthetic/v4_conveyor/annotations/contact_sheets/neutral_component_spot_raw_96_at_160.jpg,all 96 neutral-profile scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,No visible truncation overlap bright belt spill or systematic cutout failure.
neutral_overlay,synthetic/v4_conveyor/annotations/contact_sheets/neutral_component_spot_overlay_96_at_160.jpg,all 96 neutral-profile annotated scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Five component boxes per scene align with visible components; defect boxes remain localized.
warm_raw,synthetic/v4_conveyor/annotations/contact_sheets/warm_component_spot_raw_96_at_160.jpg,all 96 warm-profile scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Warm cast is component-local and belt remains black without visible positive light spill.
warm_overlay,synthetic/v4_conveyor/annotations/contact_sheets/warm_component_spot_overlay_96_at_160.jpg,all 96 warm-profile annotated scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Component and defect boxes align across the complete contact sheet.
cool_raw,synthetic/v4_conveyor/annotations/contact_sheets/cool_component_spot_raw_96_at_160.jpg,all 96 cool-profile scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Cool cast is component-local and no scene-level clipping or overlap is visible.
cool_overlay,synthetic/v4_conveyor/annotations/contact_sheets/cool_component_spot_overlay_96_at_160.jpg,all 96 cool-profile annotated scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Component and defect boxes align across the complete contact sheet.
side_raw,synthetic/v4_conveyor/annotations/contact_sheets/side_component_spot_raw_96_at_160.jpg,all 96 side-profile scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Directional component lighting varies while the belt remains dark; no visible cutout failure.
side_overlay,synthetic/v4_conveyor/annotations/contact_sheets/side_component_spot_overlay_96_at_160.jpg,all 96 side-profile annotated scenes,Codex_visual_review,2026-09-01,PASS_VISUAL_QA,Component and defect boxes align across the complete contact sheet.
