sample_id,reviewer,review_date,review_scope,status,note
syn-v1-normal_proxy-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,contact sheet sample; empty defect mask confirmed
syn-v1-normal_proxy-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,contact sheet sample; empty defect mask confirmed
syn-v1-normal_proxy-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,contact sheet sample; empty defect mask confirmed
syn-v1-scratch-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,scratch location and mask alignment plausible
syn-v1-scratch-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,scratch location and mask alignment plausible
syn-v1-scratch-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,scratch location and mask alignment plausible
syn-v1-surface_spot-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,spot location and mask alignment plausible
syn-v1-surface_spot-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,spot location and mask alignment plausible
syn-v1-surface_spot-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,spot location and mask alignment plausible
syn-v1-discoloration-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,localized low-frequency color shift preserved metal texture
syn-v1-discoloration-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,localized low-frequency color shift preserved metal texture
syn-v1-discoloration-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,localized low-frequency color shift preserved metal texture
syn-v1-contamination-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,smear and particle mask alignment plausible
syn-v1-contamination-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,smear and particle mask alignment plausible
syn-v1-contamination-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,smear and particle mask alignment plausible
syn-v1-lead_breakage-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,distal lead loss and mask alignment plausible for PoC
syn-v1-lead_breakage-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,distal lead loss and mask alignment plausible for PoC
syn-v1-lead_breakage-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,distal lead loss and mask alignment plausible for PoC
syn-v1-body_chip-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,chip connects to package edge
syn-v1-body_chip-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,chip connects to package edge
syn-v1-body_chip-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,chip connects to package edge
syn-v1-body_crack-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,edge-started crack and mask alignment plausible
syn-v1-body_crack-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,edge-started crack and mask alignment plausible
syn-v1-body_crack-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,edge-started crack and mask alignment plausible
syn-v1-multi_defect-0000,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,multi-label colors and image edits aligned
syn-v1-multi_defect-0001,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,multi-label colors and image edits aligned
syn-v1-multi_defect-0002,OpenAI Codex,2026-08-31,image_and_mask_overlay,PASS_POC_VISUAL,multi-label colors and image edits aligned
syn-v1-scratch-0009,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,contrast strengthened by v1.1 visibility gate
syn-v1-surface_spot-0004,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,severe spot remains inside metal ROI
syn-v1-discoloration-0003,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,broad tint remains localized and texture-preserving
syn-v1-contamination-0024,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,cluster remains localized with plausible soft boundary
syn-v1-lead_breakage-0011,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,missing distal lead is visible; production realism not verified
syn-v1-body_chip-0005,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,edge-connected material loss is visible
syn-v1-body_crack-0024,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,thin body crack remains visible after domain randomization
syn-v1-multi_defect-0003,OpenAI Codex,2026-08-31,severe_visual_sample,PASS_POC_VISUAL,multi-defect mask classes remain separable
