image_id,filename,source_physical_part_id,audit_specimen_group,view,qc,manual_image_label,visible_primary,visible_multilabel,scratch_state,surface_spot_state,discoloration_state,contamination_state,breakage_state,lead_deformation_state,view_status,specimen_status,normal_training_eligible,classification_training_use,manual_reviewer,manual_review_date,confidence,evidence
20260827_171517,20260827_171517.jpg,OBJ-01,SPEC-A,front,defocus,HOLD_QUALITY,quality_hold,quality_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,NG,NO,EXCLUDE_QUALITY,OpenAI Codex,2026-08-31,medium,"세부 판독 불가; 동일 specimen의 후면 scratch가 확인되어 specimen은 NG"
20260827_171519,20260827_171519.jpg,OBJ-01,SPEC-A,front,defocus,HOLD_QUALITY,quality_hold,quality_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,NG,NO,EXCLUDE_QUALITY,OpenAI Codex,2026-08-31,medium,"흐림으로 표면 판독 불가; 동일 specimen의 후면 scratch가 확인되어 specimen은 NG"
20260827_171532,20260827_171532.jpg,OBJ-01,SPEC-A,front,severe_defocus,HOLD_QUALITY,quality_hold,quality_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,NG,NO,EXCLUDE_QUALITY,OpenAI Codex,2026-08-31,medium,"심한 defocus; 동일 specimen의 후면 scratch가 확인되어 specimen은 NG"
20260827_171544,20260827_171544.jpg,OBJ-01,SPEC-A,front,usable,VIEW_OK_NOT_SPECIMEN_OK,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,EXCLUDE_NOT_TRUE_OK,OpenAI Codex,2026-08-31,medium,"이 관찰면에는 명확한 결함이 없으나 동일 specimen 후면에 scratch가 있어 정상 학습에는 사용 불가"
20260827_171549,20260827_171549.jpg,OBJ-01,SPEC-A,front,good,VIEW_OK_NOT_SPECIMEN_OK,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,EXCLUDE_NOT_TRUE_OK,OpenAI Codex,2026-08-31,high,"이 관찰면에는 명확한 결함이 없으나 동일 specimen 후면에 scratch가 있어 정상 학습에는 사용 불가"
20260827_171555,20260827_171555.jpg,OBJ-01,SPEC-A,front,usable,VIEW_OK_NOT_SPECIMEN_OK,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,EXCLUDE_NOT_TRUE_OK,OpenAI Codex,2026-08-31,medium,"이 관찰면에는 명확한 결함이 없으나 동일 specimen 후면에 scratch가 있어 정상 학습에는 사용 불가"
20260827_171556,20260827_171556.jpg,OBJ-01,SPEC-A,front,usable,VIEW_OK_NOT_SPECIMEN_OK,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,EXCLUDE_NOT_TRUE_OK,OpenAI Codex,2026-08-31,medium,"171555 근접 중복; 이 관찰면에는 결함이 없으나 동일 specimen 후면에 scratch가 있음"
20260827_171602,20260827_171602.jpg,OBJ-01,SPEC-A,back,good,NG_SCRATCH,scratch,scratch,positive,not_observed,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,LABEL_ONLY_GROUP_SPLIT_REQUIRED,OpenAI Codex,2026-08-31,high,"금속 tab 좌측 상단부터 아래로 이어지는 선형 scratch가 다음 frame에서도 동일 위치에 반복"
20260827_171603,20260827_171603.jpg,OBJ-01,SPEC-A,back,good,NG_SCRATCH,scratch,scratch,positive,not_observed,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,LABEL_ONLY_GROUP_SPLIT_REQUIRED,OpenAI Codex,2026-08-31,high,"171602와 같은 위치와 형상의 scratch가 반복되어 반사광이 아닌 표면 고정 손상으로 판정"
20260827_171611,20260827_171611.jpg,OBJ-01,SPEC-A,back,good,NG_SCRATCH_SPOT,scratch,scratch;surface_spot_unknown,positive,positive,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,LABEL_ONLY_GROUP_SPLIT_REQUIRED,OpenAI Codex,2026-08-31,high,"금속 tab 복수 scratch와 하부의 지속적인 dark spot 확인; spot 원인은 변색/오염 중 미확정"
